SEXO; NUM_HIJOS; ANNO_ANTIGUEDAD; SBA_IMPORTE; NUM_CURSOS; EVP_NUM; DESEMPENNO
1;0;13;42000;2;5.2;1
1;0;14;42000;2;5.2;1
1;0;15;42000;0;2.5;1
1;0;16;42000;0;2.5;1
0;0;0;23000;0;4.8;1
1;1;12;23000;2;5.2;1
1;1;13;23000;2;5.2;1
1;1;14;23000;2;5.2;1
1;1;15;23000;0;2.5;1
1;1;16;23000;1;3.85;1
0;2;12;40000;2;6.45;1
0;2;13;40000;2;6.45;1
0;2;14;40000;2;6.45;1
0;2;15;40000;0;3.75;1
0;2;16;23000;0;3.75;1
1;1;12;40000;2;6.45;1
1;1;13;40000;2;6.45;1
1;1;14;40000;2;6.45;1
1;1;15;40000;0;2.5;1
1;1;16;40000;1;3.85;1
1;3;12;42000;2;7.7;1
1;3;13;42000;2;6.45;1
1;3;14;42000;2;6.45;1
1;3;15;42000;0;3.75;1
1;3;16;42000;0;2.5;1
1;1;12;23000;2;7.7;1
1;2;13;23000;2;6.45;1
1;2;14;23000;2;6.45;1
1;2;15;23000;0;3.75;1
1;2;16;19000;0;5;1
0;0;12;42000;2;2.7;1
0;1;12;35000;2;6.45;1
0;2;13;35000;2;6.45;1
0;2;14;35000;2;6.45;1
0;2;15;35000;0;2.5;1
0;2;16;35000;0;2.5;1
0;0;13;17000;2;2.7;1
0;0;14;17000;2;2.7;1
0;0;15;17000;0;0;1
0;0;16;17000;0;0;1
1;2;12;40000;2;5.2;1
1;2;13;40000;2;5.2;1
1;2;14;40000;2;5.2;1
1;2;15;40000;0;2.5;1
1;1;16;40000;2;5.2;1
1;1;12;42000;2;6.45;1
1;1;13;42000;2;5.2;1
1;1;14;42000;2;5.2;1
1;1;15;42000;0;5;1
1;1;16;44000;0;5;1
0;1;12;23000;2;6.45;1
0;1;13;23000;2;5.2;1
0;1;14;23000;2;5.2;1
0;1;15;23000;0;2.5;1
0;1;16;23000;0;2.5;0
1;0;11;46000;2;2.7;1
1;0;12;46000;2;2.7;1
1;0;13;46000;2;2.7;1
1;2;11;46000;2;6.45;1
1;2;12;46000;2;6.45;1
1;1;13;46000;2;5.2;1
1;1;14;46000;0;2.5;1
1;1;15;46000;0;2.5;1
0;1;11;-1;2;7.7;1
0;1;12;-1;2;7.7;1
0;1;13;23000;2;7.7;1
0;1;14;23000;0;5;1
0;1;15;23000;0;5;1
1;2;11;44000;2;7.7;1
1;2;12;44000;2;7.7;1
1;2;13;44000;2;6.45;1
1;2;14;44000;0;3.75;1
1;2;15;44000;0;3.75;1
1;2;11;44000;2;5.2;1
1;2;12;44000;2;5.2;1
1;2;13;44000;2;5.2;1
1;2;14;44000;0;5;1
1;2;15;44000;0;5;1
0;2;14;46000;0;5;0
0;2;15;46000;0;5;1
0;0;11;23000;2;2.7;1
0;1;12;23000;2;5.2;1
0;1;13;23000;2;5.2;1
0;1;14;23000;0;2.5;1
0;1;15;23000;0;2.5;1
1;2;11;23000;2;7.7;1
1;2;12;23000;2;7.7;1
1;3;13;46000;2;10;1
1;3;14;46000;0;5;1
1;3;15;46000;1;6.35;1
1;2;11;46000;2;7.7;1
1;2;12;44000;2;7.7;1
1;2;13;44000;2;7.7;1
1;2;14;44000;0;5;1
